id	SBS	DBS	ID	SV
HAP1clL-5FU-1-6	779	9	76	3
HAP1clL-5FU-2-1	559	3	65	9
HAP1clL-5FU1-A1	551	3	40	7
HAP1clL-5FU2-A2	404	2	46	6
HAP1clL-5FU3-A3	484	1	68	6
HAP1clL-5FU4-C4	334	4	45	1
HAP1clL-UNT1-A1	385	3	65	4
HAP1clL-UNT2-A2	446	4	66	4
HAP1clL-UNT3-A3	313	3	58	2
JG0070b	380	4	80	7
JG0070c	343	5	78	5
JG0070f	392	0	26	5
JG0070g	196	0	17	7
JG0070h	538	0	42	4
JG0070i	149	0	19	8
JG0070j	684	6	95	10
JG0070k	552	2	63	4
JG0070l	570	4	62	6
JG0073b	381	2	67	14
JG0073c	325	3	61	12
JG0073d	289	4	62	16
JG0073f	405	3	46	16
JG0073g	272	1	57	14
JG0073h	306	1	35	12
JG0073i	305	1	51	18
JG0073j	436	4	57	10
JG0073k	572	9	85	13
JG0073l	679	6	61	13
JG0074b	1005	5	79	9
JG0074c	679	2	86	6
JG0074d	694	5	93	5
JG0074f	133	0	10	4
JG0074g	791	4	58	7
JG0074h	197	2	13	2
JG0074i	941	1	68	8
JG0075b	988	2	91	12
JG0075c	1149	6	81	13
JG0075d	1104	3	104	11
JG0075f	1769	5	57	9
JG0075g	956	3	63	10
JG0075h	260	0	21	10
JG0075i	1622	3	72	13
MTH1-5FU1-A5	473	3	54	4
MTH1-5FU2-B6	372	0	32	5
MTH1-5FU3-A7	168	0	13	2
MTH1-5FU4-C8	777	2	53	4
MTH1-UNT1-A5	329	3	46	6
MTH1-UNT3-A7	352	8	55	10
MTH1-UNT4-A8	373	5	69	5
MUTYH-5FU1-A9	698	2	40	7
MUTYH-5FU2-A10	1389	8	85	8
MUTYH-5FU3-A11	1005	2	47	3
MUTYH-5FU4-A7	711	4	81	4
MUTYH-UNT1-B9	847	2	75	5
MUTYH-UNT2-B10	1051	2	90	0
MUTYH-UNT3-B11	979	4	96	2
