id	SBS	DBS	ID	SV
JG0115n	81	0	24	1
JG0115o	309	4	116	0
JG0115p	105	1	26	5
JG0115q	172	0	40	4
JG0132b	216	1	31	0
JG0132c	264	3	43	2
JG0132d	211	0	33	0
JG0132e	209	1	36	2
JG0132f	293	3	49	0
JG0132g	280	3	42	1
JG0133b	847	2	67	0
JG0133c	645	3	43	0
JG0133d	802	3	65	2
JG0133e	560	3	50	2
JG0134b	668	1	61	0
JG0134c	537	0	45	2
JG0134d	972	4	47	0
JG0134e	1032	3	55	1
JG0135b	1047	3	58	2
JG0135c	447	0	35	0
JG0135d	763	0	49	4
JG0135e	810	0	63	2
JG0136b	564	2	46	1
JG0136c	385	2	51	1
JG0136d	237	1	29	3
JG0136e	356	4	48	4
JG0137b	1066	3	53	7
JG0137c	682	2	59	6
JG0137d	574	2	50	3
JG0137e	1635	4	51	3
JG0138b	994	9	42	4
JG0138c	1374	1	52	3
JG0138d	289	3	47	0
JG0138e	1818	9	47	4
JG0139b	12008	24	103	1
JG0139c	9563	17	116	1
JG0139d	9769	21	109	2
JG0139e	7303	22	69	3
JG0140b	991	2	60	1
JG0140c	916	1	74	3
JG0140d	873	2	79	0
JG0140e	1102	6	61	0
JG0164b	326	3	115	10
JG0164c	584	1	156	8
JG0164d	346	1	108	7
JG0165b	423	3	95	4
JG0165c	443	3	86	10
JG0165d	373	2	107	3
JG0165e	358	4	69	5
