signature	processive_group_length	number_of_processive_groups	mean_sims	min_sims	max_sims	std_sims	diff	zscore	pvalue	qvalue	minus_log10_qvalue	fold_increase_over_sim
SBS17	2	1608	1370.35	1339	1415	19.432640067679944	237.6500000000001	12.229424266199207	1.0823371477205436e-34	7.576360034043805e-34	33.12053939553022	1.1734228481774729
SBS17	3	147	91.65	78	106	6.958986995245788	55.349999999999994	7.953743847748785	9.047904026130682e-16	3.166766409145739e-15	14.499383970401524	1.6039279869067102
SBS17	4	20	8.45	4	12	2.290742237791062	11.55	5.042033891660173	2.303048404344791e-07	5.373779610137845e-07	6.269720148856273	2.366863905325444
SBS17	5	3	0.6	0	2	0.5830951894845301	2.4	4.115966043420212	1.9278053578101778e-05	3.3736593761678114e-05	4.471898768373584	5.0
SBS17	6	1	0.15	0	1	0.3570714214271425	0.85	2.3804761428476167	0.008645140296453127	0.012103196415034377	1.9170999187672255	6.666666666666667
SBS18	2	13	11.15	7	15	1.8241436346954698	1.8499999999999996	1.0141745226706593	0.155249741626739	0.155249741626739	0.808969113922235	1.1659192825112108
SBS5	2	4	6.4	4	10	1.8547236990991405	-2.4000000000000004	-1.2939932784412613	0.09783387127182064	0.11413951648379075	0.9425639715353203	0.625
