signature	processive_group_length	number_of_processive_groups	mean_sims	min_sims	max_sims	std_sims	diff	zscore	pvalue	qvalue	minus_log10_qvalue
SBS17	2	1608	702.08	646	746	26.94872167654711	905.92	33.61643683412273	4.825207424272643e-248	8.04201237378774e-248	247.09463526300834
SBS17	3	147	15.92	8	27	3.47470862087744	131.08	37.724026473016735	0.0	0.0	inf
SBS17	4	20	0.36	0	1	0.48000000000000004	19.64	40.916666666666664	0.0	0.0	inf
SBS17	5	3	0.0	0	0	0.0	3.0				inf
SBS17	6	1	0.0	0	0	0.0	1.0				inf
SBS18	2	13	1.28	0	5	1.149608629055993	11.72	10.19477385936459	1.0461544947051652e-24	1.3076931183814565e-24	23.883494161692663
SBS5	2	4	0.8	0	4	1.019803902718557	3.2	3.1378581622109443	0.0008509360463365097	0.0008509360463365097	3.07010307888939
