id	SBS	DBS	ID	SV
JG0159b	892	5	47	4
JG0159c	509	8	54	3
JG0159d	736	9	36	4
JG0159e	611	1	34	3
JG0159f	2008	9	65	7
JG0159g	3804	9	67	5
JG0159h	2069	7	87	11
JG0159i	2840	9	71	10
JG0159j	1523	11	82	5
JG0159k	2048	5	75	5
JG0159l	2105	5	75	1
JG0159m	2519	7	67	8
JG0160b	729	2	36	5
JG0160c	601	2	26	4
JG0160d	657	1	41	5
JG0160e	586	6	29	3
JG0160f	608	3	77	6
JG0160g	684	2	44	3
JG0160h	767	2	47	0
JG0160j	898	3	73	5
JG0160k	857	2	54	1
JG0160l	872	0	57	6
JG0160m	966	5	65	3
JG0161b	721	11	40	2
JG0161c	540	4	49	3
JG0161d	532	4	45	10
JG0161e	536	1	43	1
JG0161f	6256	16	71	8
JG0161g	1228	4	59	4
JG0161h	2443	8	63	1
JG0161i	2813	10	74	6
JG0161j	1618	5	76	4
JG0161k	3012	12	72	1
JG0161l	3050	11	62	3
JG0161m	3465	6	82	8
JG0162b	987	6	59	5
JG0162c	1026	6	45	4
JG0162d	1057	6	55	4
JG0162e	935	5	43	3
JG0162f	1091	3	65	9
JG0162g	1071	10	57	11
JG0162h	896	6	45	8
JG0162i	1107	6	50	13
JG0162j	589	2	48	14
JG0162k	789	2	48	10
JG0162l	720	0	35	13
JG0162m	799	2	64	15
JG0163b	89	0	28	9
JG0163c	95	0	29	16
JG0163d	160	0	27	15
JG0163e	97	1	32	18
JG0163f	205	0	42	20
JG0163g	121	1	34	14
JG0163h	132	1	39	9
JG0163i	104	0	25	2
JG0163j	100	0	19	7
JG0163k	106	1	30	11
JG0163l	110	0	26	13
JG0163m	158	1	37	12
